1||1||Tzenn||approved||2025-06-18 19:34:34||True
2||2||Tzenn||approved||2025-06-18 19:39:31||True
3||3||Tzenn||approved||2025-06-18 19:41:12||True
4||4||Tzenn||approved||2025-06-18 19:43:58||True
5||5||Tzenn||approved||2025-06-18 19:44:29||True
6||6||Tzenn||approved||2025-06-18 21:24:53||True
7||7||Tzenn||approved||2025-06-18 21:26:51||True
8||8||Tzenn||approved||2025-06-18 21:30:10||True
9||11||Tzenn||approved||2025-06-18 21:30:52||True
10||12||Tzenn||approved||2025-06-18 21:31:23||True
11||13||Tzenn||approved||2025-06-18 21:32:22||True
12||14||Tzenn||approved||2025-06-18 21:40:21||True
13||15||Tzenn||approved||2025-06-18 21:41:08||True
14||16||Tzenn||approved||2025-06-18 21:45:12||True
15||17||Tzenn||approved||2025-06-18 21:46:29||True
16||18||Tzenn||approved||2025-06-18 21:48:06||True
17||21||Tzenn||approved||2025-06-18 21:51:14||True
18||23||Tzenn||approved||2025-06-18 21:51:24||True
19||25||Tzenn||approved||2025-06-18 21:51:33||True
20||27||Tzenn||approved||2025-06-18 21:51:54||True
21||29||Tzenn||approved||2025-06-18 21:52:12||True
22||24||Tzenn||approved||2025-06-18 21:52:20||True
23||31||KeanTiong||approved||2025-06-18 21:52:26||True
24||32||KeanTiong||approved||2025-06-18 21:52:42||True
25||34||KeanTiong||approved||2025-06-18 21:52:45||True
26||36||KeanTiong||approved||2025-06-18 21:53:08||True
27||39||KeanTiong||approved||2025-06-18 21:53:16||True
28||40||KeanTiong||approved||2025-06-18 21:53:25||True
29||37||KeanTiong||approved||2025-06-18 21:53:35||True
30||41||KeanTiong||approved||2025-06-18 21:53:43||False
31||48||William||approved||2025-06-18 21:53:52||False
32||49||William||approved||2025-06-18 21:53:57||False
33||50||William||approved||2025-06-18 21:54:01||False
34||47||William||approved||2025-06-18 21:54:04||False
35||33||KeanTiong||approved||2025-06-18 21:54:22||False
36||43||William||approved||2025-06-18 21:54:31||False
37||44||William||approved||2025-06-18 21:54:47||False
38||46||William||approved||2025-06-18 21:55:02||False
39||45||William||approved||2025-06-18 21:55:23||False
40||28||Tzenn||approved||2025-06-18 21:56:40||False
41||35||KeanTiong||approved||2025-06-18 22:16:29||False
42||30||Tzenn||approved||2025-06-18 22:16:36||False
